date,schiphol_avg,schiphol_min,schiphol_max,rotterdam_avg,rotterdam_min,rotterdam_max
20150410,11.3,3.6,19.2,11.5,2.4,20.6
20150411,8.9,3.2,13.5,9.7,4.9,13.5
20150412,9.7,2.5,15.7,10.3,4.3,16
20150413,7.9,4.3,11.9,8.2,3.8,11.9
20150414,10.7,4,17.9,12.5,5.4,19
20150415,12.7,6.4,20.7,13.5,7.4,21.4
20150416,9.6,6.9,12.6,9.7,5.7,14.1
20150417,8.5,4.8,12.3,8.7,4.9,12.7
20150418,8.8,3.7,14.5,8.3,1.3,14.5
20150419,8.2,1.4,13.9,7.4,0.9,13.3
20150420,11.1,5.9,16.3,10.3,2.9,16.9
20150421,9.9,2.8,16.3,9.6,3.1,16.4
20150422,8.4,2.8,11.3,8,1.4,12
20150423,9.6,5.9,15,9.3,3.8,14.3
20150424,11.8,3.6,18.8,11.7,1.5,18.9
20150425,12,8.2,15,12.5,10.5,15.5
20150426,9.8,7.5,11.6,10.6,7.5,12.2
20150427,7.4,0.8,12.8,7.3,0.3,11.9
20150428,6.7,0.7,11.5,7.3,0.3,11
20150429,8.4,3.5,14.2,9.4,4.9,15
20150430,9,3.8,13.5,9.3,3.9,13.2
20150501,8.5,4.5,13.1,8.4,2.3,13
20150502,9.6,3,15.1,9.8,1.7,15
20150503,12.4,7.5,16.7,13,8.5,16.8
20150504,14.9,11.7,18.5,15.5,11.9,19.9
20150505,15.3,10.6,22.3,15.2,11.7,21.1
20150506,12.1,8.7,15.6,12.1,8.9,15.9
20150507,11.9,8.5,15.3,12.2,8.9,15.4
20150508,13.9,8.2,19,14.6,9.5,18.4
20150509,12.8,7.3,16.2,12.9,7,15.9
20150510,12.6,4.8,18.6,13.3,4.9,18.8
20150511,16.8,11.8,25,17.6,12.3,24.1
20150512,14.1,11.6,16.9,13.9,11.3,16.8
20150513,11.8,6.9,16.7,11.9,5.5,17.1
20150514,11.3,7.9,15.3,11.5,4.9,16.2
20150515,9.3,5.5,14.4,9.4,5,13.6
20150516,11,6.4,14.9,11.2,7.4,14.1
20150517,11.7,7.4,15.8,11.9,8.2,15.8
20150518,10.7,7.7,13.7,11.2,8.8,14
20150519,10.6,6.9,14.5,10.7,7.9,14.7
20150520,10,6,14.5,10,5.5,13.5
20150521,12.2,5.4,16,12.3,4.4,16.2
20150522,14.4,12,19.4,14.3,11.8,19
20150523,12.1,5.7,16,12.5,5,16.2
20150524,12.2,3.7,17.9,12.4,2.4,18.5
20150525,12,9.1,14.9,12,6.2,16
20150526,11.8,7.8,15.6,12,6.3,16.2
20150527,13.3,7.2,18.2,13.3,6.1,17.9
20150528,12.9,7.8,15.9,13.1,7.7,16.2
20150529,11.3,8.2,14.7,11.6,6.8,15.7
20150530,11.5,8.5,14.6,11.6,6.3,15.2
20150531,12.3,8.6,15.7,12.9,9.3,16.2
20150601,12.6,6,16.4,12.7,5.9,16.7
20150602,14.4,11.2,16.9,14.4,11.3,16.8
20150603,14,7.9,17.7,14.1,8.5,17.8
20150604,15.5,7.5,21.1,16.2,5.9,22.1
20150605,20.5,12,31,20.9,10.5,32.4
20150606,14.9,10.6,17.7,14.8,10.5,17.8
20150607,13.3,8,17.6,13.3,7.8,18.2
20150608,12.6,8.8,17,12.7,7.2,17.9
20150609,11.7,9.6,14.2,11.3,7.6,14.6
20150610,15.1,9.8,20.8,15,5.5,21.6
20150611,17.6,11.2,23.2,18,9.1,24.8
20150612,20.7,13.4,26.6,20.8,11.2,27.7
20150613,16.5,13.4,19.7,16.9,13.8,21.2
20150614,14.4,12.3,17.3,15.5,12.9,19.9
20150615,13,7.5,17.5,13.8,8,18.2
20150616,12.4,6.7,16.8,12.2,5.7,17.4
20150617,16,8,22.5,16.4,7.1,22.7
20150618,13.6,11.9,16,14.1,12.1,16.2
20150619,13.3,10.7,16.8,13.3,11.2,15.8
20150620,13.1,9.9,16.7,14.3,11.8,17.8
20150621,14.6,11.9,18.8,15,13.2,16.6
20150622,13,9.1,17.5,12.9,10.6,15.3
20150623,12.7,9.3,14.9,12.8,9.3,16
20150624,16,11.9,21.3,16.3,12,21.9
20150625,18,11.9,22.8,18.1,12.5,22.9
20150626,20.2,14.2,24.7,20.3,12,25.6
20150627,17,12.3,20.8,17.4,12.3,20.6
20150628,17.7,11.3,23.3,18.6,11.8,24.1
20150629,18.2,12.5,22.8,18,11.9,22.7
20150630,20.6,11.7,26.4,21.6,10.7,27.7
20150701,26.1,16.6,33,27,16,34.4
20150702,24.4,19.2,30.2,24,19.5,27.6
20150703,23.8,17.5,28.9,23.3,16.2,28.2
20150704,23.9,17.6,30.9,23.9,17.3,30.7
20150705,19.7,15.8,27.7,19.6,16,27.7
20150706,18.3,13.5,21.9,18.3,14.3,22.8
20150707,19.7,13.1,25.3,19.4,12.5,24.7
20150708,15.9,12,19.5,16.2,12.5,19.8
20150709,13.6,9.5,17.9,13.9,9,17.6
20150710,17.2,8.9,23.3,18.1,8.2,23.8
20150711,20.1,15.2,27.4,20.4,14.8,27.6
20150712,18,16.6,19.9,17.8,16,20.7
20150713,17.9,16.8,20,17.5,16.6,18.8
20150714,17.8,14.4,21.3,17.9,15.2,19.9
20150715,17.4,15.6,20.2,17.7,13.9,20.9
20150716,19.1,12.9,23.5,19.2,12.1,24.4
20150717,21.2,17.7,25.3,21.2,16.8,25.8
20150718,17.8,13.4,21.4,18,14.7,21.5
20150719,16.1,11.2,20.7,17.2,14.7,21.5
20150720,17.9,9.8,21.2,19.2,15.1,21.6
20150721,19.9,15.2,24.3,20.4,17,25
20150722,19,14.8,22.9,19.1,16.3,23.4
20150723,17.4,14.1,21.5,17.6,13.7,22.1
20150724,18.9,13.4,23,19.1,13.8,24.1
20150725,15,11.1,18.2,14.9,8.9,19.2
20150726,14.8,8.9,21.1,14.9,8.5,21.1
20150727,16.9,14.4,20,16.9,14.5,19.5
20150728,15.8,12.7,18.9,15.6,12.6,18.7
20150729,14.5,10.5,17.5,14.4,10.9,17.4
20150730,13.9,9.4,18.1,13.3,8.6,17.4
20150731,13.9,7.5,19.5,14.2,7,19.4
20150801,15.8,8.5,21.1,16,8.8,21.3
20150802,18.2,10.6,24,19.2,10.3,25.1
20150803,20.8,14.8,28.3,21.1,15.6,26.9
20150804,17.9,14.2,21,17.9,14.3,20.8
20150805,19.1,12.1,24.9,20.2,13.6,25.9
20150806,19.9,14.5,26.7,20,14.3,26.5
20150807,19.4,14,24.7,19.6,13.5,24.8
20150808,18.4,13.5,22.3,18.5,13.3,23.4
20150809,19.1,12.1,24.8,18.8,11.4,25.1
20150810,19.5,16.6,23.6,19.3,17,22.8
20150811,19.9,16.2,24.3,19.5,15.6,24.4
20150812,19.2,17.2,21.7,19.6,16.5,23.3
20150813,21.6,15.8,26.9,21.5,14.7,28.6
20150814,21.2,17.8,25.3,21,17.7,24.7
20150815,17.9,15.5,21.6,17.2,15.1,20.2
20150816,15.7,12.8,18.4,15.7,13,18
20150817,14.5,12.9,15.6,14.3,13,15
20150818,15.1,13.7,17.4,14.4,13.3,16.8
20150819,17.1,13.7,22.4,17.5,13.9,22.4
20150820,18.8,13.1,25.5,18.9,12,24.2
20150821,20.4,15.1,25.1,21,16,26.5
20150822,21.4,16.9,26.5,21.8,16.9,26.8
20150823,20.1,16.3,26.2,19.8,15.6,26.7
20150824,17.7,14,22.6,17.3,12.5,22.3
20150825,16.8,14.1,20.1,16.5,14.4,19.3
20150826,19.6,16.3,25,20.2,16.7,24.9
20150827,15.8,13.8,18.3,15.9,14.3,18.6
20150828,15.9,11.8,20.6,15.9,12.1,20.5
20150829,17.4,11,23,17.4,10.3,23.7
20150830,19.7,15.9,23.8,19.9,14.8,24.8
20150831,20.3,16.5,25,20.1,16.7,25.4
20150901,15.7,11.8,19,15.6,9.9,19.2
20150902,14,10.2,18.7,13.4,9.2,18.3
20150903,12.9,8.8,16.8,12.4,8.4,17.2
20150904,13.9,11.9,15.9,14,12.8,16.5
20150905,13.7,11,17,13.7,11.2,17.1
20150906,13.2,10.8,16.8,13.6,11.3,16.7
20150907,14.3,12.2,18.2,14.8,12.3,18.2
20150908,14.3,9.8,17.2,14.5,11.6,16.8
20150909,14.1,9,18.6,13.9,9.3,20
20150910,14.8,10,19.6,14,8.7,19.6
20150911,14.6,9.6,19.4,14,7.9,19.5
20150912,15.8,12.3,19.8,16.1,12.6,19.8
20150913,16.3,11.7,19.1,16,12,18.8
20150914,14.1,11.4,18.8,14.6,11.5,20.2
20150915,12.1,9.5,15.4,12.9,10.8,14.9
20150916,15,10.5,18.9,15.4,11.6,19.3
20150917,14,10.5,15.8,14.6,12.2,15.8
20150918,13.6,9.9,17.7,13.7,10.6,17.3
20150919,13.7,9.8,17.7,13.4,10.4,17.6
20150920,14,8.5,18.5,13.7,8.4,18.5
20150921,14.6,11.6,18.7,14.6,11.3,18
20150922,12.8,9.2,17.8,13.3,9.9,17.4
20150923,13.3,9,17.2,13.4,9.7,16.2
20150924,13,11.6,15.1,13.3,11.6,15.8
20150925,12.5,7.9,17.2,12,6.8,17
20150926,11.8,5.7,17.3,10.9,5.3,17.5
20150927,12.3,6.4,17.3,11.5,5,17.6
20150928,12.3,7.1,17.2,11.2,4.5,16.9
20150929,12.6,7.7,17.4,11.3,4.6,17.7
20150930,13.1,8.5,17.5,11.7,5.5,17.5
20151001,12,7,16.6,10.9,5.9,16.8
20151002,11.8,5,16.9,10.4,3,17.2
20151003,11.8,6.9,17.8,11.1,3,18.8
20151004,11.2,7.3,17.4,11.1,5.5,17.2
20151005,13.1,7.6,17,13.3,5.9,16.7
20151006,15.5,13.2,18.8,15.6,13.2,18.4
20151007,14.8,13.7,16.3,15,13.8,16.9
20151008,13.3,10.8,15.8,13.3,10.7,16
20151009,12.1,7.5,16.5,11.6,7.9,16
20151010,11.6,6.7,14.5,11.2,5.2,15.4
20151011,7.3,4.2,11.6,7,3.3,11.7
20151012,5.4,1.4,10.1,5.4,1,11
20151013,6.4,4.4,8.1,4.9,2.1,7.7
20151014,6.5,4.3,9,5.9,3.2,9.5
20151015,7.2,4.3,8.9,6.2,2.3,8.2
20151016,8.4,7,10,8.4,7.5,10
20151017,9,7.4,10.2,9,5.3,10.4
20151018,9.1,2.5,11.8,8.8,3.3,12.2
20151019,11,6.1,13.7,10.7,7,13.4
20151020,9.7,6.1,13.2,10.1,6.5,14.2
20151021,10.2,5.2,12.1,10.2,5.2,12.4
20151022,12.1,7.7,15.2,12.6,8.9,15.7
20151023,11.5,7.7,14,12.1,9.5,14.4
20151024,11.7,9.9,13.5,12.2,10.5,14.1
20151025,9.7,4.6,13.8,10.3,4,14.4
20151026,11,6.3,16.1,10.7,5.7,15.8
20151027,11.5,7.1,17.1,12,5.7,17.4
20151028,10.8,6.1,13.3,11.7,8.8,14.6
20151029,10.8,7.6,15.5,11.2,8.5,15.3
20151030,10.4,7.4,15.1,11.4,8.5,16
20151031,9.7,6,14.7,9.8,4.6,15.4
20151101,7.4,3.6,12.7,8.7,3.1,16.4
20151102,8.6,4.6,15.4,8.4,3.3,15.2
20151103,9.7,2.9,15.6,10.4,2.2,17.1
20151104,12.1,8.8,14.6,13.3,11.5,15.7
20151105,13.1,10.7,15.1,13.8,11.4,16
20151106,15.2,13.9,17.1,15.5,14.1,17.3
20151107,15.9,13.8,18.2,16.1,13.8,18.5
20151108,12.8,6.5,17.4,13.6,7.2,17.3
20151109,13.6,12.4,16,13.7,12.6,15.7
20151110,14.6,13.6,15.7,14.4,13.1,15.3
20151111,13,12.1,13.9,13,12.1,13.7
20151112,13.3,11.4,15.7,13.4,12.3,15.3
20151113,11.3,6.8,13.7,11.3,8.3,13.8
20151114,10.1,8.4,14.1,10.3,9.1,14.3
20151115,14.3,13.1,14.9,14.1,13.1,14.7
20151116,12.6,10.9,13.7,12.5,11.3,13.6
20151117,13.3,10.4,15.5,13.8,11.4,15.5
20151118,12.8,10.3,14.3,13.1,11.2,14.5
20151119,11.3,8.8,13.3,11.2,8.5,13.7
20151120,8,3.6,10.1,8.4,5.9,10.4
20151121,5,2.6,7.3,5.3,1.8,8.4
20151122,2.7,0.3,5.9,2.3,-1,5.2
20151123,3.5,-1.5,7.5,3.3,-2.4,8.3
20151124,4.9,3.6,7,5.2,3.7,7.5
20151125,6.4,3,8.3,6.1,2.3,9.5
20151126,5,1.8,9.7,5,1.5,9.9
20151127,5.7,3.1,7.3,5.7,4,6.9
20151128,7,5.3,8.5,7.1,5.4,8.5
20151129,10.5,7.7,12.5,10.8,8.3,12.4
20151130,9.3,6.6,12.3,9.8,6.9,12.5
20151201,9.8,6,12.8,10.3,7.6,12.9
20151202,10.6,9.4,12,11,9.6,12
20151203,9.5,8.3,11,9.8,8.9,10.9
20151204,9.5,7.9,11,9.5,7.6,10.6
20151205,8.1,7.4,9.3,8.1,7.3,9
20151206,10.7,8,12.5,10.5,7.6,12
20151207,10.7,9.3,12.2,10.9,9.8,12.4
20151208,9.6,7.9,11.3,9.8,8.4,11.5
20151209,7.7,5.3,10.1,7.7,2.9,10
20151210,6.5,5.5,7.6,6.1,5.3,7.1
20151211,7.7,6.1,9.8,7.4,5.9,9.3
20151212,8.2,3.9,12.1,7.8,2.5,11.9
20151213,7,4.5,11.7,7.5,6.2,11.7
20151214,7.2,4.8,9.8,7.5,6.1,9.7
20151215,7.2,4.4,9.4,8,4.5,10.9
20151216,11.6,9.1,13.4,12,9.7,13.4
20151217,12.8,11,14.4,13.4,12.3,14.6
20151218,11.4,9.6,13.1,11.7,10.3,12.7
20151219,12.1,9.5,13.6,12.5,10.7,14.1
20151220,11.4,9.5,12.5,11.9,10.6,12.8
20151221,9.9,8,12.2,10.2,8.4,11.8
20151222,12.3,7.8,13.7,12.8,10.6,13.8
20151223,10,7.1,12.7,10.4,7.8,12.8
20151224,9.4,6.6,12.7,9.7,6.9,12.3
20151225,9.2,4.5,13.8,9.8,7.1,13.6
20151226,12.9,11,14.8,12.6,10.9,14
20151227,11.8,10.5,13.4,11.7,10.3,13.2
20151228,9.1,6.6,11.6,9.1,6.6,11.3
20151229,7.6,5.4,9.8,8.7,6.9,10.5
20151230,7.4,5.9,9.4,8.2,6.5,10
20151231,7.6,5.1,9.9,8.4,6.7,10
